Disaster Subgroup,Disaster Type,Disaster Subgroup,Disaster Type,Origin,0
Meteorological,Storm,Meteorological,Storm,Heavy rains,7
Meteorological,Storm,Meteorological,Storm,Heavy rain,5
Meteorological,Storm,Meteorological,Storm,Torrential rains,4
Meteorological,Storm,Meteorological,Storm,Strong winds,3
Meteorological,Extreme temperature,Meteorological,Extreme temperature,Polar air mass flow,2
Meteorological,Extreme temperature,Meteorological,Extreme temperature,Cold front,1
Meteorological,Extreme temperature,Meteorological,Extreme temperature,Heavy snow falls,1
Meteorological,Extreme temperature,Meteorological,Extreme temperature,"Low depression accompanied by polar winds,",1
Industrial accident,Fire (Industrial),Industrial accident,Fire (Industrial),Lightening,1
Industrial accident,Explosion (Industrial),Industrial accident,Explosion (Industrial),Gas leak,2
Industrial accident,Explosion (Industrial),Industrial accident,Explosion (Industrial),Fireworks,1
Industrial accident,Explosion (Industrial),Industrial accident,Explosion (Industrial),High temperature,1
Industrial accident,Explosion (Industrial),Industrial accident,Explosion (Industrial),Human error,1
Industrial accident,Gas leak,Industrial accident,Gas leak,Gaz,1
Industrial accident,Poisoning,Industrial accident,Poisoning,Fonderie,1
Industrial accident,Poisoning,Industrial accident,Poisoning,Insecticide endosulfan,1
Industrial accident,Collapse (Industrial),Industrial accident,Collapse (Industrial),Landslide,2
Industrial accident,Collapse (Industrial),Industrial accident,Collapse (Industrial),Flooding,1
Industrial accident,Collapse (Industrial),Industrial accident,Collapse (Industrial),Heavy rains,1
Industrial accident,Collapse (Industrial),Industrial accident,Collapse (Industrial),Heavy yrains,1
Industrial accident,Radiation,Industrial accident,Radiation,Explosion during refueling,1
Industrial accident,Chemical spill,Industrial accident,Chemical spill,Rupture réservoir usine aluminium,1
Hydrological,Flood,Hydrological,Flood,Heavy rains,1598
Hydrological,Flood,Hydrological,Flood,Heavy rain,612
Hydrological,Flood,Hydrological,Flood,Monsoonal rain,188
Hydrological,Flood,Hydrological,Flood,Torrential rains,165
Hydrological,Mass movement (wet),Hydrological,Mass movement (wet),Heavy rains,194
Hydrological,Mass movement (wet),Hydrological,Mass movement (wet),Heavy rain,12
Hydrological,Mass movement (wet),Hydrological,Mass movement (wet),Torrential rains,12
Hydrological,Mass movement (wet),Hydrological,Mass movement (wet),Torrential rain,8
Biological,Epidemic,Biological,Epidemic,Contaminated water,2
Biological,Epidemic,Biological,Epidemic,After flood,1
